新闻标题,来源,点击量
中国工商银行保定分行行长丛小东来我校走访慰问,金融系,406
我校与河北省金融学会联合举行“雄安新区金融服务创新”座谈会,雄安新区建设发展研究中心,249
新华网、人民日报社-人民论坛网等多家媒体对我校党委书记杨兆廷讲授“开学第一课”进行报道,宣传部,852
我校召开庆祝第35个教师节暨表彰大会,工会,779
我校信息管理与工程系、管理系、科研处联合举办“《金融科技发展规划》解读”专题讲座,信息管理与工程系 管理系 科研处,448
河北金融学院举行2019级新生开学典礼暨军训动员大会,学生处,722
我校党委书记杨兆廷为2019级新生讲授“开学第一课”――学以成人 成以报国,宣传部,631
河北省教育厅国际处正处级调研员李守民来我校指导“河北省中波教育发展联盟”筹备工作,国际教育学院,482
中国人民解放军国防大学教授韩旭东为我校2019级新生作国防教育讲座,学生处,482
欢迎你，新金院人――全校师生喜迎2019级新生,宣传部,1113
我校赴爱尔兰科研团组圆满完成出访任务,国际教育学院,592
校纪委召开新学期纪委委员全体会议,监察审计处,624
【喜报】我校在第五届河北省“互联网+”大学生创新创业大赛决赛中喜获佳绩,教务处,695
我校赴韩国代表团圆满完成出访任务,国际教育学院,645
我校赴马来西亚代表团圆满完成出访任务,国际教育学院,706
我校成功通过北美精算师SOA-VEE全部课程认证,保险系,555
我校举办2019年暑期中层干部培训班,组织部,607
我校赴香港岭南大学暑期博雅项目圆满结束,国际教育学院,630
校领导深入一线检查指导新学期开学准备工作,宣传部,699
河北金融学院2019年本专科招生录取工作圆满结束,学生处,2495
我校继续教育学院暑期成功举办三期培训班,继续教育学院,838
【喜报】我校教师王香兰及财务管理专业教学团队分获“河北省教学名师”“河北省优秀教学团队”称号,教务处,886
我校成功举办“雄安大讲堂”第8期暨“雄安-粤港澳-冀中南金融协同发展”研讨会,雄安新区建设发展研究中心 金融研究所,768
我校副校长王伟一行赴涞源县看望慰问驻村扶贫工作队队员,国有资产与后勤管理处,710
【喜报】我校运动健儿在第十九届全国大学生田径锦标赛中喜获佳绩,体育教学部,698
我校青年志愿者助力2019世界机器人大赛,信息管理与工程系,707
党委副书记姚维刚、纪委书记张绍红一行赴定点帮扶村调研指导驻村扶贫工作并慰问驻村工作队,办公室,1275
【喜报】我校代表队在“瑞华杯”第三届全国校园审计精英挑战赛总决赛中喜获佳绩,会计系,871
纪委书记张绍红检查落实中央八项规定精神执行情况并慰问暑期在岗教职工,纪委办公室,730
学校纪委召开深入落实中央八项规定精神推进会,纪委办公室,576
【喜报】我校运动健儿在河北省第二十届大学生运动会中喜获佳绩,体育教学部,682
我校与广宗县人民政府共同举行大学生实践基地揭牌仪式,国际教育学院,796
我校办公室党支部赴塞罕坝开展主题党日活动,办公室,241
张绍红同志任省监委驻河北金融学院监察专员,党委组织部,1084
我校举办“智慧课堂信息化2.0金课”骨干教师培训班,教务处,649
我校2019年暑期易县农村信用联社大学生专业实习正式启动,金融系,649
我校与保定市莲池区教育和体育局签署共建合作协议,办公室,566
我校开展“情暖夕阳”敬老爱老志愿服务活动,团委,444
我校党员教师赴保定市监狱开展廉政警示教育活动,安全工作处,554
邢台学院副校长徐惠敏一行来我校调研交流,办公室,724
我校与中国人民银行保定市中心支行、保定金融学会签署科研项目合作协议,马克思主义学院,822
我校举行河北金融学院-中国邮储银行保定市分行实习基地共建协议签署暨会计系2019年暑期专业实习启动仪式,会计系,542
我校会计系、科研处开展“不忘初心、牢记使命――重温入党志愿书”主题教育活动,会计系,366
我校与河北航天信息技术有限公司举行合作洽谈,河北省科技金融协同创新中心,321
我校与中国人保财险河北省分公司签署战略合作协议,保险系,352
我校与高顿教育集团签订战略合作协议,金融系,455
我校组织开展纪念建党98周年“七一”走访慰问活动,组织部,325
河北省教育厅在我校组织召开2017年河北省高校创新创业教育教学改革项目结项评审会,教务处,434
【喜报】我校在2019河北省第二届兵棋推演大赛中喜获佳绩,学生处,352
我校教师当选全国高校人工智能与大数据创新联盟“新商科专业委员会”常务理事,管理系,490
我校国际教育学院党总支开展“不忘初心 牢记使命”庆七一系列活动,国际教育学院,521
我校与中信银行保定分行签署校外实习基地建设暨银校联合共建合作协议,金融系,453
我校召开集中整治深入落实中央八项规定精神专项工作会议,办公室,1359
我校党委中心组召开专题学习会,宣传部,1080
我校信息管理与工程系开展系级重点建设课程改革项目验收工作,信息管理与工程系,943
我校研究生部举行2018级研究生专业实践出征仪式,研究生部,860
我校体育教学部教师参加“2019清华体育高层论坛”,体育教学部,684
我校党委副书记姚维刚深入党委宣传部开展调研,宣传部,946
天津银行石家庄分行行长韩文金一行来我校调研交流,办公室,911
我校举办“互联网+”大学生创新创业大赛决赛,教务处,750
